epoch,train_loss,val_loss,learning_rate,time_seconds
1,1.992702,1.684398,3.00e-04,87.2
2,1.636427,1.599440,2.95e-04,86.7
3,1.539717,1.561774,2.80e-04,86.2
4,1.490737,1.535324,2.56e-04,86.6
5,1.462860,1.523923,2.25e-04,86.7
6,1.445474,1.517160,1.89e-04,86.8
7,1.433741,1.512086,1.50e-04,86.5
8,1.425687,1.506362,1.11e-04,86.6
9,1.419933,1.502133,7.50e-05,85.1
10,1.415999,1.502235,4.39e-05,86.7
11,1.413408,1.499796,2.01e-05,86.6
12,1.412108,1.498744,5.11e-06,86.7
